mode1r,mode1i,mode2r,mode2i,other_moder,other_modei,g_phase,time
0,0,0,0,-4.59E-05,0.000769733,0,0
-7.88E-06,0.002496661,-7.82E-06,0.002514356,-7.27E-05,0.000865341,-2.82E-11,0.6216952
-3.15E-05,0.004991941,-3.13E-05,0.005027323,0.000270059,-2.90E-05,-8.96E-10,2.5
-7.09E-05,0.007485597,-7.04E-05,0.007538661,0.000321462,-2.63E-05,-6.72E-09,4.3783048
-0.000125917,0.009977389,-0.000125043,0.01004813,-0.000475743,-0.000525799,-2.78E-08,5
-0.000196656,0.012467077,-0.00019529,0.012555491,-0.000664747,-0.00077315,-8.31E-08,
-0.000283045,0.01495442,-0.00028108,0.015060505,-0.000139766,-0.000877871,-2.01E-07,
-0.000385051,0.017439179,-0.000382378,0.017562932,-0.000198313,-0.001432849,-4.21E-07,
-0.000502639,0.019921115,-0.000499151,0.020062535,,,-7.89E-07,
-0.00063577,0.022399988,-0.000631359,0.022559077,,,-1.36E-06,
-0.000784401,0.024875562,-0.00077896,0.02505232,,,-2.19E-06,
-0.000948486,0.027347598,-0.000941909,0.027542027,,,-3.33E-06,
-0.001127977,0.029815859,-0.001120158,0.030027963,,,-4.81E-06,
-0.001322822,0.03228011,-0.001313654,0.032509893,,,-6.68E-06,
-0.001532964,0.034740114,-0.001522344,0.034987582,,,-8.91E-06,
-0.001758345,0.037195639,-0.001746168,0.037460796,,,-1.15E-05,
-0.001998904,0.039646448,-0.001985067,0.039929303,,,-1.43E-05,
-0.002254575,0.042092311,-0.002238975,0.042392871,,,-1.72E-05,
-0.002525289,0.044532994,-0.002507824,0.044851269,,,-2.00E-05,
-0.002810977,0.046968267,-0.002791545,0.047304267,,,-2.24E-05,
-0.003111562,0.049397901,-0.003090064,0.049751635,,,-2.42E-05,
-0.003426968,0.051821665,-0.003403303,0.052193146,,,-2.48E-05,
-0.003757113,0.054239332,-0.003731183,0.054628572,,,-2.38E-05,
-0.004101913,0.056650676,-0.00407362,0.057057688,,,-2.07E-05,
-0.004461281,0.059055471,-0.004430528,0.059480269,,,-1.48E-05,
-0.004835127,0.061453492,-0.004801819,0.061896092,,,-5.40E-06,
-0.005223358,0.063844518,-0.0051874,0.064304934,,,8.16E-06,
-0.005625877,0.066228326,-0.005587175,0.066706575,,,2.67E-05,
-0.006042585,0.068604695,-0.006001046,0.069100794,,,5.09E-05,
-0.00647338,0.070973408,-0.006428913,0.071487375,,,8.16E-05,
-0.006918156,0.073334246,-0.00687067,0.073866099,,,0.000119448,
-0.007376805,0.075686994,-0.007326212,0.076236752,,,0.000165231,
-0.007849215,0.078031437,-0.007795427,0.078599119,,,0.000219539,
-0.008335273,0.080367362,-0.008278202,0.080952989,,,0.000282913,
-0.008834861,0.082694558,-0.008774423,0.083298151,,,0.000355791,
-0.009347859,0.085012815,-0.00928397,0.085634396,,,0.000438489,
-0.009874145,0.087321926,-0.009806722,0.087961516,,,0.000531189,
-0.010413592,0.089621684,-0.010342554,0.090279305,,,0.000633929,
-0.010966072,0.091911885,-0.010891339,0.092587559,,,0.000746595,
-0.011531454,0.094192326,-0.011452948,0.094886077,,,0.000868921,
-0.012109603,0.096462806,-0.012027247,0.097174658,,,0.00100049,
-0.012700383,0.098723127,-0.012614101,0.099453103,,,0.001140742,
-0.013303655,0.10097309,-0.013213373,0.101721215,,,0.001288986,
-0.013919275,0.103212502,-0.013824922,0.103978801,,,0.001444419,
-0.0145471,0.10544117,-0.014448604,0.106225666,,,0.001606144,
-0.015186981,0.107658901,-0.015084273,0.10846162,,,0.001773199,
-0.015838769,0.109865508,-0.015731781,0.110686475,,,0.001944582,
-0.01650231,0.112060803,-0.016390977,0.112900043,,,0.002119284,
-0.017177449,0.114244601,-0.017061707,0.11510214,,,0.00229632,
-0.01786403,0.116416721,-0.017743816,0.117292583,,,0.002474764,
-0.01856189,0.118576981,-0.018437143,0.119471193,,,0.002653779,
-0.019270869,0.120725204,-0.01914153,0.121637791,,,0.002832648,
-0.0199908,0.122861213,-0.019856812,0.123792201,,,0.003010806,
-0.020721515,0.124984836,-0.020582823,0.12593425,,,0.003187858,
-0.021462847,0.127095901,-0.021319395,0.128063766,,,0.003363604,
-0.02221462,0.129194238,-0.022066358,0.13018058,,,0.003538054,
-0.022976663,0.131279683,-0.02282354,0.132284526,,,0.003711432,
